mode,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,1921,8.868.960.000.000.000,4.185.973.333.333.330,26.053.716.666.666.600,23.181.513.333.333.300,34.487.805.886.666.600,20.571,-1.704.866.666.666.660,73.662,10.153.149.333.333.300,37.932.666.666.666.600,6.533.333.333.333.330,2
1,1922,9.385.915.492.957.740,4.820.422.535.211.260,16.546.974.647.887.300,23.781.535.211.267.500,4.341.948.697.183.090,2.407.197.183.098.590,-19.275.281.690.140.800,1.166.549.295.774.640,10.088.452.112.676.000,5.355.492.957.746.470,14.084.507.042.253.500,10
1,1923,9.572.467.913.513.510,5.773.405.405.405.400,17.794.236.216.216.200,2.624.064.864.864.860,37.173.272.502.702.700,2.274.621.621.621.620,-14.129.210.810.810.800,939.486.486.486.487,1.140.107.297.297.290,6.254.924.324.324.320,5.389.189.189.189.180,0
1,1924,940.199.860.169.493,5.498.940.677.966.100,19.104.670.762.711.800,3.443.466.101.694.910,5.817.009.136.440.670,2.352.190.677.966.100,-14.231.343.220.338.900,9.208.940.677.966.090,12.068.957.203.389.800,6.637.254.237.288.130,6.610.169.491.525.420,10
1,1925,9.626.070.503.597.130,5.738.633.093.525.180,18.498.692.446.043.100,2.785.935.251.798.560,4.182.973.612.230.210,2.376.679.856.115.100,-1.414.641.366.906.470,11.191.798.561.151.000,1.155.219.208.633.090,6.219.287.769.784.170,26.043.165.467.625.800,5
1,1926,660.817.216.981.134,5.998.802.612.481.850,15.688.165.747.460.000,2.114.670.907.111.750,3.330.931.111.175.610,2.323.695.936.139.330,-18.492.538.461.538.400,4.837.036.284.470.240,10.964.803.265.602.300,4.369.104.571.843.250,14.223.512.336.719.800,9
1,1927,9.361.794.552.845.550,6.482.682.926.829.260,18.499.359.837.398.300,2.643.213.008.130.080,3.913.284.986.504.060,16.845.024.390.243.800,-14.422.373.983.739.800,11.360.959.349.593.500,11.484.652.357.723.500,6.597.004.878.048.780,8.016.260.162.601.620,7
1,1928,9.386.165.035.685.950,5.342.878.667.724.020,21.482.790.642.347.300,20.794.779.540.047.500,4.948.354.801.348.130,17.528.937.351.308.400,-17.191.982.553.528.900,15.991.149.881.046.700,10.677.226.169.706.500,4.957.126.883.425.850,15.257.731.958.762.800,1
1,1929,6.014.265.861.344.550,6.476.698.529.411.760,16.899.941.281.512.600,2.418.007.352.941.170,21.520.403.106.092.400,2.360.002.100.840.330,-16.530.376.050.420.100,4.900.007.352.941.170,11.094.835.714.285.700,6.365.298.319.327.730,3.403.361.344.537.810,7
1,1930,936.714.937.370.057,5.181.758.835.758.830,19.515.028.534.303.500,3.335.239.189.189.180,35.220.592.816.528.000,22.131.086.278.586.200,-12.869.221.413.721.400,11.990.966.735.966.700,10.987.119.438.669.400,6.162.376.299.376.300,9.267.151.767.151.760,2
1,1931,8.330.399.585.921.330,5.952.217.391.304.350,17.155.342.546.583.800,2.344.967.732.919.250,22.141.964.161.490.700,22.742.795.031.055.800,-1.651.609.420.289.850,4.536.189.440.993.790,10.902.528.157.349.900,5.131.170.807.453.410,17.080.745.341.614.900,0
1,1932,9.357.705.179.282.870,5.577.976.095.617.520,19.574.937.250.996.000,3.020.677.290.836.650,22.635.657.916.334.600,23.249.621.513.944.200,-13.364.055.776.892.400,1.390.073.705.179.280,11.511.980.079.681.200,5.881.599.601.593.620,2.151.394.422.310.750,7
1,1933,899.897.909.117.222,57.029.030.390.738,19.621.925.759.768.400,2.798.994.211.287.980,1.839.489.396.816.200,2.090.719.247.467.430,-1.306.900.868.306.800,9.112.315.484.804.630,112.522,5.994.099.855.282.190,6.898.697.539.797.390,7
1,1934,8.911.487.501.730.100,528.705.882.352.941,1.893.561.262.975.770,2.621.313.148.788.920,276.382.266.643.599,21.345.259.515.570.900,-14.756.875.432.525.900,10.245.692.041.522.400,11.539.084.602.076.100,5.588.046.712.802.770,12.577.854.671.280.200,0
1,1935,7.783.855.599.472.980,5.558.691.699.604.740,22.012.424.703.557.300,2.463.669.762.845.840,2.258.732.980.895.910,2.292.998.682.476.940,-1.541.474.967.061.920,3.539.123.847.167.320,11.066.795.652.173.900,5.455.777.997.364.950,15.013.175.230.566.500,7
1,1936,7.723.120.800.000.000,5.580.055.454.545.450,2.208.091.863.636.360,3.083.886.092.727.270,2.571.099.957.181.810,2.214.382.727.272.720,-14.612.999.090.909.000,27.902.936.363.636.300,10.988.875.454.545.400,5.640.635.454.545.450,5.080.909.090.909.090,10
1,1937,8.654.357.853.881.280,5.421.572.298.325.720,2.232.165.585.996.950,31.104.829.528.158.200,3.270.876.216.438.350,2.259.677.321.156.770,-1.311.514.307.458.140,8.567.884.322.678.840,1.152.632.222.222.220,5.857.894.977.168.940,3.328.767.123.287.670,7
1,1938,9.192.803.908.646.010,47.997.797.716.150.100,24.917.709.951.060.300,2.809.812.398.042.410,3.784.246.349.265.900,237.111.092.985.318,-14.290.582.381.729.100,95.957.259.380.098,1.116.253.278.955.950,5.149.111.092.985.310,20.962.479.608.482.800,0
1,1939,9.087.381.000.000.000,5.126.828,221.602.065,2.826.715.000.000.000,2.776.824.694.100.000,2.391.015.999.999.990,-13.900.570.000.000.000,1.284.626.999.999.990,113.174.592,5.599.248.999.999.990,4.36,0
1,1940,8.476.440.499.999.950,52.189.235,1.822.279.445,3.108.928.949.999.990,31.684.869.986.499.900,26.433.510.000.000.000,-13.684.048.000.000.000,2.429.576.500.000.000,10.844.933.449.999.900,6.167.094.700.000.000,0.93,7
1,1941,8.957.376.562.500.020,4.804.813.541.666.670,201.904.575,2.656.431.979.166.660,4.449.516.393.124.990,20.183.989.583.333.300,-15.755.536.458.333.300,9.136.520.833.333.350,10.791.512.291.666.600,4.794.560.416.666.660,13.572.916.666.666.600,7
1,1942,8.529.343.703.923.850,4.646.338.882.282.990,22.236.116.825.208.000,2.560.794.708.680.140,39.288.204.787.158.100,2.128.784.185.493.450,-1.502.903.210.463.730,8.367.835.909.631.390,10.600.839.774.078.400,4.774.088.585.017.840,11.266.349.583.828.700,7
1,1943,9.027.523.185.915.520,4.551.456.338.028.160,2.401.199.098.591.540,27.999.004.225.352.100,4.098.969.234.647.890,23.921.070.422.535.200,-1.360.212.535.211.260,10.571.957.746.478.800,10.619.679.154.929.500,4.954.545.070.422.530,11.816.901.408.450.700,5
1,1944,9.076.531.914.893.630,5.001.744.680.851.060,24.555.558.643.617.000,2.534.414.494.680.850,4.492.919.654.122.330,2.387.719.414.893.610,-1.458.205.585.106.380,17.328.324.468.085.000,10.596.392.952.127.600,5.406.954.787.234.040,31.928.191.489.361.600,10
1,1945,7.096.568.630.000.000,5.191.431.500.000.010,196.161.557,2.260.444.155,2.758.942.570.149.990,2.030.099.500.000.000,-169.814.715,3.050.972.999.999.990,10.832.407.049.999.900,4.913.613.500.000.000,2.1265,0
1,1946,9.199.445.823.665.850,4.144.450.116.009.270,26.767.782.308.584.600,22.217.230.858.468.600,4.861.264.096.461.710,2.108.183.294.663.570,-16.921.774.361.948.900,8.800.591.647.331.790,1.031.645.551.044.080,3.982.538.283.062.640,165.661.252.900.232,7
1,1947,9.139.650.224.242.390,4.713.208.484.848.490,23.313.738.424.242.400,2.635.512.000.000.000,3.475.934.179.090.900,22.382.939.393.939.300,-14.377.607.878.787.800,10.056.381.818.181.800,108.991.026.060.606,5.082.125.454.545.450,16.157.575.757.575.700,7
1,1948,9.221.549.999.999.950,4.633.694.736.842.100,19.919.487.421.052.600,242.464.841.052.632,3.554.848.223.842.100,21.969.357.894.736.700,-15.505.407.368.421.000,1.643.593.157.894.730,10.805.836.105.263.100,4.621.423.684.210.520,15.273.684.210.526.300,0
1,1949,9.075.328.949.999.950,4.421.993.999.999.990,2.231.993.275,24.611.461.499.999.900,2.977.615.361.899.990,2.088.585.500.000.000,-15.525.844.999.999.900,10.299.210.000.000.000,10.887.313.549.999.900,4.304.195.000.000.000,39.389.999.999.999.900,0
1,1950,8.539.413.005.999.960,5.042.531.000.000.000,2.150.731.255,3.140.711.950.000.000,245.000.820.015,2.169.584.000.000.000,-13.863.834.499.999.900,1.534.527.499.999.990,11.174.972.499.999.900,5.516.497.000.000.000,3.2065,7
1,1951,9.022.971.956.499.970,4.624.800.999.999.990,213.154.641,25.466.565.500.000.000,3.084.378.555.850.000,21.777.739.999.999.900,-15.812.066.000.000.000,10.850.664.999.999.900,10.962.587.199.999.900,44.134.755,3.1495,0
1,1952,8.743.009.244.999.960,4.570.322.000.000.000,22.943.472.699.999.900,25.362.601.000.000.000,2.884.126.469.300.000,2.329.722.999.999.990,-1.595.886.600.000.000,1.373.617.999.999.990,10.823.228.049.999.900,44.313.496.204.999.900,3.338,0
1,1953,8.909.223.502.564.070,4.374.260.512.820.510,2.174.555.682.051.280,2.661.968.307.692.300,3.183.223.943.230.760,22.173.405.128.205.100,-15.499.134.871.794.800,9.008.825.641.025.640,11.002.556.666.666.600,42.914.205.128.205.100,35.046.153.846.153.800,0
1,1954,8.650.197.272.999.990,4.656.388.999.999.990,22.402.936.800.000.000,264.347.385,2.974.400.082.799.990,2.178.411.499.999.990,-15.408.004.500.000.000,10.481.329.999.999.900,10.871.309.249.999.900,4.523.410.500.000.000,7.987,0
1,1955,8.405.510.069.999.980,4.881.312,22.213.744.600.000.000,2.950.963.400.000.000,21.660.442.169.000.000,2.214.353.500.000.000,-13.842.262.000.000.000,895.582,11.102.127.950.000.000,4.724.154.999.999.990,10.1445,5
1,1956,8.230.569.899.999.970,4.878.145.000.000.000,2.118.469.215,30.476.112.000.000.000,23.876.341.778.000.000,18.225.715.000.000.000,-14.175.195.500.000.000,62.312.349.999.999.900,11.220.603.900.000.000,5.084.230.500.000.000,15.785,0
1,1957,7.928.023.589.743.600,5.034.812.307.692.300,2.416.048.241.025.640,2.952.791.333.333.320,1.945.206.161.692.300,1.827.485.641.025.630,-14.124.848.717.948.700,6.435.312.820.512.820,11.275.229.487.179.400,5.110.101.538.461.540,2.008.205.128.205.120,5
1,1958,7.796.118.650.000.000,4.800.213.999.999.990,2.141.469.005,3.087.957.550.000.000,18.124.111.005.999.900,2.058.408.500.000.000,-14.165.171.000.000.000,5.699.929.999.999.990,11.332.612.349.999.900,4.976.614.999.999.990,192.575,0
1,1959,7.793.927.897.435.900,4.821.143.076.923.080,2.162.928.369.230.760,3.109.944.051.282.040,18.814.819.406.153.800,1.918.429.230.769.230,-14.460.136.923.076.900,6.787.430.769.230.770,11.211.770.153.846.100,4.784.156.410.256.420,20.773.333.333.333.300,0
1,1960,7.671.814.843.243.250,4.860.292.432.432.430,21.020.968.378.378.300,3.411.423.783.783.780,1.765.021.594.216.210,20.786.372.972.972.900,-13.814.102.702.702.700,657.835.135.135.136,11.256.167.891.891.800,5.239.316.756.756.750,19.783.783.783.783.700,0
1,1961,7.519.038.684.210.530,4.891.655.789.473.670,23.218.661.421.052.600,3.395.318.673.684.200,26.462.325.314.210.500,20.891.257.894.736.800,-14.171.330.526.315.700,594.759.473.684.209,11.180.895.789.473.600,5.128.512.105.263.150,1.959.842.105.263.150,0
1,1962,720.607.806.842.106,4.931.643.684.210.520,20.929.441.315.789.400,3.710.257,17.147.155.094.210.500,20.189.573.684.210.500,-13.177.364.210.526.200,57.739.842.105.263.100,11.484.100.473.684.100,5.477.920.526.315.790,22.127.368.421.052.600,0
1,1963,7.227.048.300.000.000,48.162.135,2.005.105.485,3.653.538.849.999.990,18.543.231.468,20.374.530.000.000.000,-13.670.647.000.000.000,5.203.614.999.999.990,11.432.458.749.999.900,5.415.274.500.000.000,255.355,0
1,1964,6.941.005.307.692.290,5.041.769.743.589.740,1.955.364.117.948.710,394.438.825.641.026,1.595.978.017.794.870,2.172.323.589.743.590,-13.048.075.897.435.800,6.659.446.153.846.140,1.150.814.892.307.690,55.726.042.051.282,2.632.102.564.102.560,0
1,1965,6.099.113.295.384.610,5.034.505.641.025.630,19.634.208.615.384.600,4.490.272.461.538.460,1.183.659.460.923.070,21.383.912.820.512.800,-11.888.213.333.333.300,5.755.646.153.846.140,11.683.544.666.666.600,5.809.506.666.666.660,27.52,0
1,1966,5.248.094.599.699.990,5.070.204.999.999.980,216.095.113,482.208.465,11.512.595.556.499.900,21.809.309.999.999.900,-11.356.919.500.000.000,55.964.050.000.000.000,11.633.542.399.999.900,5.801.445.499.999.990,282.815,2
1,1967,5.296.103.243.521.760,4.926.885.942.971.480,1.989.875.182.591.290,44.682.383.191.595.800,1.189.468.546.723.360,19.091.765.882.941.500,-11.708.829.414.707.300,4.909.839.919.959.960,1.166.800.225.112.550,5.507.916.958.479.240,31.190.595.297.648.800,0
1,1968,4.937.702.403.500.000,5.010.080.999.999.990,214.980.984,4.569.696.500.000.000,11.277.694.928.500.000,2.173.509.500.000.000,-12.043.861.999.999.900,589.884.999.999.999,11.583.259.149.999.900,5.659.936.500.000.000,312.595,0
1,1969,4.488.463.039.999.990,4.880.977.999.999.990,2.425.459.405,4.876.251.299.999.990,15.945.270.816.500.000,20.696.589.999.999.900,-12.062.166.000.000.000,5.497.499.999.999.990,11.702.432.850.000.000,5.547.452.849.999.990,32.844,2
1,1970,4.600.571.139.500.000,5.063.075.000.000.000,2.428.521.515,495.633.050.000.001,12.756.700.308.499.900,21.226.880.000.000.000,-11.772.557.999.999.900,51.681.499.999.999.900,1.171.116.105,5.720.753.999.999.990,343.945,2
1,1971,4.583.362.981.000.000,5.042.738.499.999.990,2.605.117.935,4.963.612.550.000.000,12.501.788.923,21.491.455.000.000.000,-12.079.936.000.000.000,5.942.240.000.000.000,11.827.224.749.999.900,5.749.132.500.000.000,344.475,2
1,1972,4.600.428.051.999.990,5.209.994.499.999.990,2.459.142.285,5.045.261.799.999.990,11.488.033.375.999.900,20.695.495.000.000.000,-11.773.563.499.999.900,5.487.124.999.999.990,119.412.852,5.956.881.500.000.000,34.485,2
1,1973,4.165.241.889.999.990,5.154.494.500.000.000,2.570.027.905,5.361.382.499.999.980,9.968.022.322.999.990,20.137.474.999.999.900,-11.260.197.000.000.000,57.825.750.000.000.000,12.014.631.649.999.900,5.921.162.000.000.000,36.428.000.000.000.000,0
1,1974,4.472.074.226.000.000,51.533.975,25.255.579.100.000.000,5.147.236.550.000.010,11.636.098.351.000.000,20.934.634.999.999.900,-11.816.489.000.000.000,573.193.499.999.999,11.941.645.299.999.900,5.812.744.000.000.000,322.465,2
1,1975,4.337.738.871.950.000,5.209.980.000.000.000,2.549.693.715,5.232.085.050.000.000,11.132.203.374.499.900,21.544.135.000.000.000,-1.148.593.899.999.990,6.109.845,11.868.401.550.000.000,5.694.151.500.000.000,34.812,2
1,1976,36.147.063.210.999.900,5.297.624.999.999.990,267.676.967,5.538.432.500.000.000,12.162.904.398.000.000,24.903.219.999.999.900,-11.114.236.999.999.900,6.274.994.999.999.990,12.052.205.800.000.000,5.807.332.499.999.990,35.835,2
1,1977,3.393.025.333.750.000,5.333.237.000.000.010,257.121.848,560.287.959.000.001,12.772.103.194.499.900,2.232.140.500.000.000,-11.077.354.499.999.900,60.854.549.999.999.900,12.218.543.050.000.000,58.524.655,358.465,9
1,1978,32.896.857.344.999.900,5.407.746.000.000.000,249.051.887,5.614.288.650.000.000,10.038.121.450.999.900,21.807.094.999.999.900,-10.891.867.999.999.900,6.275.740.000.000.000,12.037.794.350.000.000,5.895.352.500.000.010,35.891,2
1,1979,29.593.224.063,5.620.453.000.000.000,2.528.602.265,5.910.127.149.999.990,11.575.137.201.500.000,21.344.310.000.000.000,-10.977.513.500.000.000,6.905.859.999.999.990,12.245.681.650.000.000,6.099.818.000.000.000,36.172,0
1,1980,28.495.539.763.589.700,5.561.523.589.743.590,25.283.553.333.333.300,5.977.773.948.717.960,1.287.510.612.717.940,20.375.410.256.410.200,-10.700.942.051.282.000,5.924.861.538.461.540,12.298.500.102.564.100,5.980.580.512.820.510,36.206.666.666.666.600,0
1,1981,3.012.042.267.400.000,5.421.846.999.999.990,250.904.205,5.993.827.249.999.990,14.683.794.661.999.900,2.250.998.999.999.990,-10.924.404.499.999.900,57.915.999.999.999.900,12.316.939.500.000.000,5.829.518.500.000.000,357.525,9
1,1982,2.895.800.382.050.000,5.642.594.000.000.000,248.357.306,5.909.193.894.999.990,10.001.638.300.000.000,20.100.675,-109.331.225,6.585.305.000.000.000,12.091.860.749.999.900,5.864.384.500.000.000,36.247,2
1,1983,2.947.778.916.300.000,5.456.292.999.999.990,2.511.236.985,6.014.252.350.000.010,14.541.052.329.000.000,1.989.224.500.000.000,-11.200.171.000.000.000,6.688.600.000.000.000,121.070.629,5.721.198.999.999.980,36.268,9
1,1984,2.877.095.803.450.000,5.303.089.499.999.980,2.518.452.565,5.910.916.750.000.010,14.517.303.973.500.000,19.770.620.000.000.000,-11.523.238.499.999.900,59.264.800.000.000.100,12.137.666.200.000.000,5.516.387.100.000.000,377.745,9
1,1985,2.965.709.032.099.990,5.556.424.000.000.010,252.276.258,6.015.154.800.000.010,11.373.855.807.499.900,19.920.644.999.999.900,-11.360.688.499.999.900,5.846.480.000.000.000,1.219.793.035.000.000,5.655.964.500.000.000,37.013.000.000.000.000,9
1,1986,28.508.065.642.499.900,5.409.334.000.000.000,2.547.084.055,6.149.545.999.999.990,10.994.085.436.499.900,21.187.945.000.000.000,-11.103.995.000.000.000,6.481.609.999.999.990,12.049.930.200.000.000,5.509.485.500.000.010,375.775,9
1,1987,3.116.640.663.948.720,5.410.193.333.333.340,2.475.433.230.769.230,5.798.395.538.461.530,10.197.451.746.666.600,20.201.810.256.410.300,-11.623.467.179.487.100,5.778.964.102.564.100,12.084.570.717.948.700,5.414.511.794.871.780,39.685.128.205.128.200,7
1,1988,32.200.994.651.282.100,5.404.594.358.974.370,2.574.425.897.435.890,5.856.792.461.538.450,11.719.038.022.051.300,20.770.753.846.153.800,-11.519.821.025.641.000,6.609.989.743.589.740,12.002.442.564.102.500,5.464.853.897.435.900,3.960.051.282.051.280,7
1,1989,3.133.512.518.150.000,5.472.274.499.999.980,2.542.035.935,584.046.375.000.001,11.318.254.461.499.900,19.908.020.000.000.000,-1.138.413.000.000.000,6.393.924.999.999.990,1.205.790.015.000.000,5.483.329.000.000.000,391.825,7
1,1990,3.328.699.505.850.000,5.352.986.500.000.000,2.564.514.035,5.715.913.950.000.000,12.582.626.809.499.900,19.096.090.000.000.000,-11.327.479.499.999.900,6.434.529.999.999.990,12.006.273.350.000.000,5.265.268.499.999.990,407.855,7
1,1991,33.276.529.163.076.900,5.558.243.589.743.590,24.591.200.615.384.600,5.594.023.641.025.630,11.509.233.979.999.900,18.862.892.307.692.300,-10.955.768.717.948.700,7.110.158.974.358.980,11.936.257.435.897.400,5.486.552.307.692.290,4.165.589.743.589.740,7
1,1992,3.208.087.638.250.000,5.550.648.499.999.980,246506.46,5.828.642.050.000.000,1.006.900.830.649.990,20.024.550.000.000.000,-10.575.404.499.999.900,7.306.230.000.000.000,12.258.621.850.000.000,5.590.983.000.000.010,42.994,7
1,1993,3.090.685.537.400.000,5.698.781.500.000.000,2.516.679.675,5.625.599.100.000.000,11.529.396.538.000.000,1.949.322.500.000.000,-10.882.701.000.000.000,7.635.054.999.999.990,12.036.493.599.999.900,5.555.684.500.000.000,429.975,7
1,1994,3.062.343.630.899.990,5.528.299.500.000.010,250.992.254,578.772.685.000.001,11.188.575.994.999.900,1.921.651.000.000.000,-10.282.273.000.000.000,7.604.935.000.000.010,11.844.516.999.999.900,5.266.491.500.000.000,450.615,7
1,1995,30.251.180.612.000.000,5.590.457.500.000.000,2.466.240.915,5.785.795.100.000.000,12.326.879.606.999.900,2.013.737.000.000.000,-10.119.450.000.000.000,8.375.444.999.999.980,11.928.197.799.999.900,5.302.466.999.999.990,44.801,0
1,1996,30.102.687.980.000.000,5.878.306.000.000.000,248.180.983,5.860.684.750.000.010,9.505.281.203.500.010,1.986.863.000.000.000,-944.381.849.999.999,8.607.765.000.000.000,11.770.835.699.999.900,5.608.732.500.000.000,44.903.999.999.999.900,7
1,1997,3.067.156.934.549.990,5.768.138.499.999.990,2.457.492.815,5.986.987.151.000.000,10.469.017.861.999.900,1.984.788.000.000.000,-9.200.875.500.000.010,8.850.605.000.000.010,11.818.231.600.000.000,5.485.525.000.000.000,45.582,7
1,1998,29.148.946.157.000.000,5.862.116.499.999.990,2.485.426.075,6.051.975.050.000.010,1.113.257.503.499.990,1.937.308.999.999.990,-8.971.167.999.999.990,9.173.105.000.000.000,11.854.010.800.000.000,5.377.209,458.945,7
1,1999,2.715.901.110.661.200,5.821.579.190.158.890,2.451.777.452.588.410,6.375.226.022.552.530,9.406.814.106.611.990,20.630.804.715.530.500,-8.266.409.533.572.530,9.440.717.580.727.800,11.950.949.051.768.300,5.564.528.446.950.280,4.725.832.906.201.940,0
1,2000,28.932.270.051.635.900,590.918.047.034.764,2.427.246.426.380.360,6.254.128.323.108.380,10.116.776.879.345.500,1.976.860.429.447.850,-8.247.765.848.670.750,8.920.541.922.290.390,1.189.993.231.083.840,5.594.754.601.226.990,466.840.490.797.546,7
1,2001,2.868.424.748.428.930,5.833.178.553.615.960,24.030.779.600.997.500,6.269.855.221.945.140,10.721.401.899.251.800,18.702.563.591.022.400,-8.305.095.261.845.380,8.918.229.426.433.910,11.776.539.900.249.300,541.479.107.231.919,4.875.012.468.827.920,7
1,2002,28.262.428.988.500.100,5.761.602.999.999.990,239.503.283,6.412.697.960.000.010,8.804.835.031.499.990,1.939.111.999.999.990,-7.686.639.500.000.010,8.430.759.999.999.990,11.923.973.849.999.900,5.423.971.500.000.000,486.555,7
1,2003,25.647.051.817.297.800,5.757.633.060.388.940,2.446.705.752.302.960,6.601.652.610.030.710,8.304.927.466.734.910,19.697.630.501.535.300,-7.485.545.035.823.950,9.392.574.206.755.380,1.209.146.218.014.320,5.305.042.476.970.320,4.862.640.736.949.840,7
1,2004,2.805.589.466.225.840,5.676.803.662.258.390,23.737.870.803.662.200,6.488.679.450.661.220,7.793.403.490.844.350,2.021.994.404.883.010,-7.601.655.137.334.680,9.423.880.976.602.240,12.129.034.587.995.900,5.244.885.554.425.220,4.927.314.343.845.370,7
1,2005,2.557.635.068.666.660,5.722.805.641.025.650,2.372.295.882.051.280,653.208.511.282.051,9.019.436.118.461.540,19.008.162.564.102.500,-746.615.897.435.897,9.333.369.230.769.200,12.161.796.666.666.600,5.325.309.230.769.230,5.095.333.333.333.330,0
1,2006,2.799.863.520.256.400,5.682.301.538.461.530,23.404.291.435.897.400,6.503.262.820.512.820,7.770.147.187.692.310,1.882.892.820.512.820,-7.265.500.512.820.510,8.584.676.923.076.920,12.179.861.538.461.500,5.200.283.076.923.070,5.131.384.615.384.610,7
1,2007,2.540.809.575.538.460,5.634.143.589.743.590,24.104.996.256.410.200,6.683.047.743.589.730,7.295.726.805.128.190,19.612.656.410.256.400,-7.044.535.897.435.890,8.434.733.333.333.330,1.240.875.164.102.560,5.167.938.461.538.470,5.107.589.743.589.740,7
1,2008,2.491.917.627.212.270,5.791.928.388.746.800,24.010.731.560.102.300,6.714.608.207.672.620,636.620.903.171.356,19.843.140.664.961.600,-68.438.040.920.716.100,7.735.636.828.644.500,12.350.993.350.383.600,5.275.418.925.831.200,5.063.017.902.813.290,0
1,2009,26.192.861.909.693.900,5.641.903.571.428.570,2.381.400.132.653.060,6.707.487.551.020.400,7.587.207.368.367.350,2.052.522.959.183.670,-70.460.147.959.183.600,8.545.780.612.244.890,1.234.638.076.530.610,5.071.696.617.346.930,51.440.816.326.530.600,0
1,2010,2.426.866.435.515.870,5.724.883.432.539.680,2.428.118.045.634.920,6.817.778.026.289.680,8.298.056.821.924.610,19.970.064.484.126.900,-69.099.042.658.730.100,8.103.149.801.587.310,1.235.702.152.777.770,5.208.951.587.301.580,5.273.015.873.015.870,0
1,2011,27.318.266.251.859.100,5.528.669.806.643.520,236.998.787.307.883,6.483.008.934.060.490,10.377.233.216.658.400,20.330.882.498.760.500,-7.574.986.117.997.000,8.747.927.615.270.200,12.148.399.702.528.400,4.724.536.787.307.880,5.330.738.720.872.580,2
1,2012,24.995.304.438.046.200,5.708.818.508.997.430,24.580.745.758.354.700,6.565.714.601.542.400,8.520.552.067.866.310,1.897.330.077.120.820,-7.260.549.614.395.880,8.174.246.786.632.400,12.178.173.624.678.600,4.627.090.128.534.700,5.265.501.285.347.040,7
1,2013,2.574.880.859.564.770,5.711.480.263.157.890,24.226.766.143.724.600,6.455.968.914.473.680,9.836.505.391.700.380,19.963.081.983.805.700,-7.472.039.473.684.200,9.384.888.663.967.610,12.080.682.945.344.100,4.547.411.943.319.830,54.047.064.777.327.900,1
1,2014,24.931.264.588.029.900,5.899.476.807.980.050,23.372.831.471.321.600,6.487.954.437.905.220,7.656.955.483.790.510,1.918.215.960.099.750,-706.743.990.024.938,8.406.054.862.842.890,12.230.526.284.289.200,4.630.487.780.548.620,55.543.142.144.638.300,0
1,2015,2.539.522.577.102.330,5.937.740.628.166.150,2.300.290.466.058.760,6.270.642.715.298.890,1.067.868.780.547.110,18.885.643.363.728.400,-7.625.639.311.043.560,9.677.922.998.986.840,12.011.541.134.751.700,4.320.983.687.943.250,5.670.060.790.273.550,7
1,2016,28.417.102.995.548.100,6.002.023.928.770.170,22.139.651.029.493.600,5.928.552.316.082.340,9.398.438.711.741.790,18.116.989.426.822.500,-8.061.056.204.785.750,10.431.329.994.435.100,11.865.262.993.878.600,4.315.320.589.872.010,596.471.897.607.123,0
1,2017,2.860.990.665.261.040,6.122.170.180.722.880,2.111.156.967.871.480,5.904.210.208.835.330,9.709.060.906.626.490,1.917.126.004.016.060,-831.262.951.807.228,1.105.364.959.839.350,11.720.273.995.983.900,4.164.763.112.449.790,6.326.355.421.686.740,1
1,2018,2.676.329.907.750.830,6.635.004.755.111.740,2.060.010.071.326.670,6.024.346.220.161.670,5.421.712.166.904.410,17.632.553.495.007.100,-7.168.785.068.949.120,12.717.555.872.563.000,1.219.223.076.557.290,4.479.212.743.699.470,6.329.624.346.172.130,1
1,2019,2.782.985.863.365.820,6.448.141.097.998.960,20.102.478.809.645.900,5.932.240.360.184.710,7.764.024.697.280.640,17.261.641.867.624.400,-7.722.191.893.278.590,12.104.335.556.695.700,12.023.564.443.304.200,4.588.176.295.536.160,6.525.654.181.631.600,1
1,2020,2.199.308.880.935.960,6.929.043.349.753.700,19.372.839.753.694.500,6.312.316.354.679.790,16.375.524.305.418.700,1.785.354.187.192.110,-6.595.066.995.073.870,14.138.369.458.128.000,12.428.312.857.142.800,5.010.478.078.817.720,6.430.197.044.334.970,1